T1,T2,S1,S2,Draw,ELO1,ELO2,Prob1,Prob2
Estonia,England,0,2,0,1444,1889,0.071649318,0.928350682
Switzerland,San Marino,7,0,0,1776,861,0.9948682491,0.0051317509
Liechtenstein,Sweden,0,2,0,1166,1710,0.04182582,0.95817418
Russia,Moldova,2,1,0,1670,1326,0.8787049512,0.1212950488
Austria,Montenegro,3,2,0,1688,1527,0.7164236941,0.2835763059
Equatorial Guinea,Kosovo,0,2,0,1334,1391,0.4186985216,0.5813014784
Czech Republic,Turkey,0,2,0,#N/A,1790,#N/A,#N/A
Iceland,Latvia,2,2,1,1728,1456,0.827178017,0.172821983
Netherlands,Kazakhstan,2,1,0,1903,1395,0.9490338639,0.0509661361
Italy,Azerbaijan,3,1,0,1919,1368,0.9597595844,0.0402404156
Norway,Malta,2,0,0,1610,1205,0.91144177,0.08855823
Andorra,Belgium,1,4,0,939,1924,0.0034356219,0.9965643781
Bosnia & Herzegovina,Wales,2,0,0,#N/A,1725,#N/A,#N/A
Israel,Cyprus,1,2,0,1546,1393,0.7069752948,0.2930247052
Croatia,Bulgaria,3,0,0,1826,1561,0.8213414717,0.1786585283
Germany,Georgia,2,1,0,2033,1461,0.9641774124,0.0358225876
Romania,Faroe Islands,3,0,0,1689,1203,0.9425482089,0.0574517911
Finland,North. Ireland,1,1,1,1550,#N/A,#N/A,#N/A
Hungary,Greece,3,4,0,1695,1592,0.6440338538,0.3559661462
Armenia,Albania,0,3,0,1499,1602,0.3559661462,0.6440338538
Serbia,Portugal,1,2,0,1710,1874,0.2800809941,0.7199190059
Gibraltar,Scotland,0,6,0,1079,1686,0.0294784855,0.9705215145
Rep. of Ireland,Poland,1,2,0,#N/A,1794,#N/A,#N/A
Denmark,France,1,2,0,1722,1953,0.2092018972,0.7907981028
Liechtenstein,Austria,0,3,0,1166,1688,0.0472061876,0.9527938124
Macedonia,Belarus,0,0,1,1407,1559,0.2942186403,0.7057813597
Montenegro,Russia,0,2,0,1527,1670,0.3050902873,0.6949097127
Moldova,Sweden,0,2,0,1326,1710,0.0988131709,0.9011868291
Slovakia,Luxembourg,4,2,0,1735,1213,0.9527938124,0.0472061876
Spain,Ukraine,1,0,0,1918,1714,0.7639246991,0.2360753009
Switzerland,Estonia,1,0,0,1776,1444,0.8711477984,0.1288522016
